Question,Answer,Topic ,keywords,topic,Bidirectional LSMT glove v. 5 Clean,,Laura ,NLabels,,Cluster model,,,,,NLabels n.2,,semi supervised learning using  pretrained BERT,,Clusters prediction ,,,,,,,
,,,,,predicted label ,vs/Laura,Expected label ,Predicted label ,vs/Laura,predicted label ,vs/Laura,cluster,revised cluster label ,vs/Laura,Predicted label,vs/Laura,Predicted labels,vs/Laura,Analysis,science and tech,ethics and reg,others,strategy and management ,taxonomy ,factual,expected
Who published the book Planktonic indices in the evaluation of the ecological status and the trophic state of the longest lake in Poland?,"The book Planktonic indices in the evaluation of the ecological status and the trophic state of the longest lake in Poland was published by CRC Press, Boca Raton FL, on behalf of the World Health Organization, Geneva, CH",Bio-Fishery Ecosys.,"fisheries, fishing, zooplankton, bioclimatic, fish, fishery, fishes, biodiversity, phytoplankton, bioavailability, planktonic, lakes, ecotypes, biosphere, ecosystems, aquaculture, biospheric, anglerfish, bioavailable, snailfish, ecology, lake, ecosystem, biosourced, ecological, zoologii, biotic, climatology, biomass, oceanography, aquatic, bioproject, habitats, biogeography, biogeochemical, biofuels, bioenergy, bioorganic, climatological, biogas, habitat, biophysical, biofuel, freshwater, biobased, biomod, seawater, species, biomethane, ecologization",,others,OK,others,analysis,,Analysis,,2,analysis,,analysis,,analysis,,4,,,1,,,,others
What was the publication date of Climatic Change and Global Warming of Inland Waters?,The publication date of Climatic Change and Global Warming of Inland Waters was 2012,Climate Impacts,"climatological, climatic, climatology, climatol, impacts, climat, climates, influencing, climate, climatena, impact, meteorological, klimapositives, effects, acclimatize, consequences, meteorology, affects, atmospheric, geothermal, microclimate, impactful, environmental, meteorol, influences, bioclimatic, affect, influence, affecting, impacted, environmentally, effect, pollution, atmosphere, impacting, factors, ecological, environment, ecologization, consequence, affected, ecoregions, influenced, ecology, influential, ecotoxicity, warming, implications, changes, ambientes",,ethics and regulation,,others,strategy,,Ethics and Regulation,,9,analysis,,analysis,,analysis,,3,,1,0,1,,,others
What contributions did Working Group I make to the Sixth Assessment Report of the Intergovernmental Panel on Climate Change?,Working Group I contributed to the Sixth Assessment Report of the Intergovernmental Panel on Climate Change by providing information about the results and impacts of climate change on water resources and the environment,Water Hydrology,"airwater, waters, watersheds, watershed, groundwater, stormwater, freshwater, wastewater, water, hydropower, aquatic, hydration, hydro, aquac, hydrological, aquaculture, irrigation, breakwaters, hydrology, seawater, flood, climatology, floods, hydrodynamic, hydroelectric, climatological, hydrologic, aqueous, drainage, rainfalls, rainfall, headwaters, hydraulic, vandecar, desalination, influencing, wet, climatic, vapour, evaluations, evaluates, assessing, evaluating, assessments, hydrus, moisture, assessment, evaluation, airflow, drainmod",,analysis,,ethics and regulation,strategy,,Ethics and Regulation,OK,9,analysis,,analysis,,ethics and regularisation,OK,3,,1,,1,,,ethics and reg
What criteria did Jarvinen et al 2013 use to identify phytoplankton indicator taxa in Northern and Central European lowland lakes?,"Jarvinen et al 2013 used criteria such as the distribution and abundance of certain species, the trophic status of the lake, and the importance of certain species as indicators of environmental conditions to identify phytoplankton indicator taxa in Northern and Central",Bio-Fishery Ecosys.,"fisheries, fishing, zooplankton, bioclimatic, fish, fishery, fishes, biodiversity, phytoplankton, bioavailability, planktonic, lakes, ecotypes, biosphere, ecosystems, aquaculture, biospheric, anglerfish, bioavailable, snailfish, ecology, lake, ecosystem, biosourced, ecological, zoologii, biotic, climatology, biomass, oceanography, aquatic, bioproject, habitats, biogeography, biogeochemical, biofuels, bioenergy, bioorganic, climatological, biogas, habitat, biophysical, biofuel, freshwater, biobased, biomod, seawater, species, biomethane, ecologization",,others,Q,analysis,factual,OK,Analysis,OK,6,others,,factual,OK,science & technology,,0,1,,2,,,2,analysis
What factors were studied in the article by Jeppesen et al?,Jeppesen et al studied the predictions of phytoplankton responses to warming based on cross-latitude and local studies,Researching Ecology,"researching, research, researched, researches, climatology, studies, investigations, study, investigated, climatological, investigation, investigate, researcher, objective, exploration, exploring, researchers, purpose, objectives, seek, investigates, search, ecology, estudios, ecological, ecologization, seeks, purposes, studied, explore, why, geological, survey, climatic, investigating, explores, surveyed, goals, finding, explored, discovery, retrieval, studya, find, discover, bioclimatic, targets, studying, target, cfa",,science and tech,Q,others,factual,OK,Analysis,,6,others,OK,factual,OK,science & technology,Q,0,2,,1,,,2,others
What was the purpose of the study by Jeppesen et al?,The purpose of the study by Jeppesen et al was to analyze monitoring data from 504 Danish Lakes to determine if cross-latitude and local studies produce similar predictions of phytoplankton responses to warming,Researching Ecology,"researching, research, researched, researches, climatology, studies, investigations, study, investigated, climatological, investigation, investigate, researcher, objective, exploration, exploring, researchers, purpose, objectives, seek, investigates, search, ecology, estudios, ecological, ecologization, seeks, purposes, studied, explore, why, geological, survey, climatic, investigating, explores, surveyed, goals, finding, explored, discovery, retrieval, studya, find, discover, bioclimatic, targets, studying, target, cfa",,science and tech,Q,others,factual,OK,Analysis,,6,others,OK,factual,OK,science & technology,Q,0,2,,1,,,2,others
What impact did warmer climates have on shallow lakes?,Warmer climates boosted cyanobacterial dominance in shallow lakes,Bio-Fishery Ecosys.,"fisheries, fishing, zooplankton, bioclimatic, fish, fishery, fishes, biodiversity, phytoplankton, bioavailability, planktonic, lakes, ecotypes, biosphere, ecosystems, aquaculture, biospheric, anglerfish, bioavailable, snailfish, ecology, lake, ecosystem, biosourced, ecological, zoologii, biotic, climatology, biomass, oceanography, aquatic, bioproject, habitats, biogeography, biogeochemical, biofuels, bioenergy, bioorganic, climatological, biogas, habitat, biophysical, biofuel, freshwater, biobased, biomod, seawater, species, biomethane, ecologization",,strategy,,analysis,science&tech,Q,Analysis,OK,2,analysis,OK,science&tech,Q,science & technology,Q,1,3,,,1,,,analysis
How can charophyte beds help to reduce nutrient levels in shallow lakes?,"Charophyte beds can act as nutrient sinks, reducing nutrient levels in shallow lakes",Bio-Fishery Ecosys.,"fisheries, fishing, zooplankton, bioclimatic, fish, fishery, fishes, biodiversity, phytoplankton, bioavailability, planktonic, lakes, ecotypes, biosphere, ecosystems, aquaculture, biospheric, anglerfish, bioavailable, snailfish, ecology, lake, ecosystem, biosourced, ecological, zoologii, biotic, climatology, biomass, oceanography, aquatic, bioproject, habitats, biogeography, biogeochemical, biofuels, bioenergy, bioorganic, climatological, biogas, habitat, biophysical, biofuel, freshwater, biobased, biomod, seawater, species, biomethane, ecologization",,strategy,,strategy,strategy,OK,Analysis,,2,analysis,,strategy,OK,science & technology,,1,1,,,3,,,strategy
What is the title of the study being discussed?,The title of the study being discussed is Knowl & Management of Aquatic Ecosystems 44,Publications Titles,"article, articles, publication, published, publications, title, paper, journal, paragraph, publishing, papers, paperempower, journals, titled, document, jahrbuch, author, wrote, publish, subject, publishes, manuscript, thesis, cfa, item, literature, contents, topic, documents, cited, authors, documented, documentation, what, pdf, sources, source, book, who, written, cfd, topics, authorship, http, pages, citation, resource, org, yearbook, material",,science and tech,Q,others,science&tech,Q,Analysis,,11,others,OK,science&tech,Q,analysis,,1,3,,1,,,,others
